# time(fs)  total O H
3.600000000000000000e+02 7.889639545562141302e-05 -4.181955517310444946e-05 1.207159506287258557e-04
3.620000000000000000e+02 3.336519258038285728e-05 -4.006255248682734848e-05 7.342774506721019899e-05
3.640000000000000000e+02 -6.497657534822261942e-05 -3.855175792893068061e-05 -2.642481741929193203e-05
3.660000000000000000e+02 -1.639908253306451695e-04 -3.704632268418184889e-05 -1.269445026464633883e-04
3.680000000000000000e+02 -2.330243202478346227e-04 -3.544290989905970010e-05 -1.975814103487749294e-04
3.700000000000000000e+02 -2.613910984633000998e-04 -3.372830297590947003e-05 -2.276627954873906433e-04
3.720000000000000000e+02 -2.371605037480084620e-04 -3.183596350539358896e-05 -2.053245402426148866e-04
3.740000000000000000e+02 -1.557011381066553222e-04 -2.970035258926654023e-05 -1.260007855173887379e-04
3.760000000000000000e+02 -4.707850111166672109e-05 -2.743481755857900446e-05 -1.964368355308772002e-05
3.780000000000000000e+02 3.305625243628097483e-05 -2.531283873880763559e-05 5.836909117508861381e-05
3.800000000000000000e+02 4.930136959292415796e-05 -2.352566482983686953e-05 7.282703442276100038e-05
3.820000000000000000e+02 1.213205039511678553e-05 -2.202834850571840395e-05 3.416039890083516576e-05
3.840000000000000000e+02 -4.762761845570174059e-05 -2.066473990105028698e-05 -2.696287855465145022e-05
3.860000000000000000e+02 -1.113688415078154648e-04 -1.935044750318172023e-05 -9.201839400463376830e-05
3.880000000000000000e+02 -1.673816720542951105e-04 -1.805582514182866295e-05 -1.493258469124664374e-04
3.900000000000000000e+02 -1.920684023567304443e-04 -1.668722319614245734e-05 -1.753811791605880378e-04
3.920000000000000000e+02 -1.610661911116857952e-04 -1.511223712440996004e-05 -1.459539539872758572e-04
3.940000000000000000e+02 -8.212268197564922211e-05 -1.332854570299978299e-05 -6.879413627264947470e-05
3.960000000000000000e+02 3.214917939083652848e-06 -1.151139466216222113e-05 1.472631260124588118e-05
3.980000000000000000e+02 5.580584518320122912e-05 -9.856592848401226901e-06 6.566243803160246788e-05
4.000000000000000000e+02 6.669399974218972918e-05 -8.423317134827190350e-06 7.511731687701692800e-05
4.020000000000000000e+02 4.657461093733792186e-05 -7.158125857845670291e-06 5.373273679518358707e-05
4.040000000000000000e+02 3.755072708336266519e-06 -6.011555322930786397e-06 9.766628031267064774e-06
4.060000000000000000e+02 -5.230608991712963358e-05 -4.948271965329580062e-06 -4.735781795180006283e-05
4.080000000000000000e+02 -9.788311555810041281e-05 -3.880041799876468846e-06 -9.400307375822393550e-05
4.100000000000000000e+02 -1.048200221704166283e-04 -2.677551063676816630e-06 -1.021424711067398265e-04
4.120000000000000000e+02 -6.770036688830068398e-05 -1.286188681159282625e-06 -6.641417820714139056e-05
4.140000000000000000e+02 -8.986101837870035845e-06 2.172327880891334316e-07 -9.203334625959174359e-06
4.160000000000000000e+02 4.519971090676870676e-05 1.709795654363736523e-06 4.348991525240496219e-05
4.180000000000000000e+02 8.341563272109642300e-05 3.121663239802844362e-06 8.029396948129355577e-05
4.200000000000000000e+02 1.006671230246587148e-04 4.431555716529632691e-06 9.623556730812909228e-05
4.220000000000000000e+02 8.772293254088298596e-05 5.613132942958487186e-06 8.210979959792448946e-05
4.240000000000000000e+02 4.363207665279927281e-05 6.657637903087623402e-06 3.697443874971165364e-05
4.260000000000000000e+02 -9.235981604195366387e-06 7.638366672063008045e-06 -1.687434827625837613e-05
4.280000000000000000e+02 -3.799744470544731434e-05 8.688712162601631614e-06 -4.668615686804893241e-05
4.300000000000000000e+02 -3.118625616277226440e-05 9.885541898339839564e-06 -4.107179806111213615e-05
4.320000000000000000e+02 -5.115808064094903934e-06 1.119001857857651250e-05 -1.630582664267142236e-05
4.340000000000000000e+02 2.287285398098231124e-05 1.252489977130848119e-05 1.034795420967383343e-05
4.360000000000000000e+02 5.248440278726998264e-05 1.386109701595170760e-05 3.862330577131829876e-05
4.380000000000000000e+02 8.498630426491376305e-05 1.519096024990169370e-05 6.979534401501207952e-05
4.400000000000000000e+02 1.021938400132809955e-04 1.645329057022293904e-05 8.574054944305804294e-05
4.420000000000000000e+02 8.274028243074100944e-05 1.756804664024992551e-05 6.517223579049107377e-05
4.440000000000000000e+02 3.451534840310525236e-05 1.854803300385153629e-05 1.596731539925372285e-05
4.460000000000000000e+02 -5.863405798699875918e-06 1.951822046514261724e-05 -2.538162626384250163e-05
4.480000000000000000e+02 -1.214953092337299259e-05 2.059213934545637252e-05 -3.274167026882936172e-05
4.500000000000000000e+02 4.875186362732561321e-06 2.176015285909964394e-05 -1.688496649636708600e-05
4.520000000000000000e+02 2.169876932519363945e-05 2.294579337115076970e-05 -1.247024045957113946e-06
4.540000000000000000e+02 3.650420775785081443e-05 2.412472009884807171e-05 1.237948765900273934e-05
4.560000000000000000e+02 6.403067793306886244e-05 2.532682431402456504e-05 3.870385361904429741e-05
4.580000000000000000e+02 1.001286485496355054e-04 2.652730867723450799e-05 7.360133987240097709e-05
4.600000000000000000e+02 1.141331234826908556e-04 2.761438711160999987e-05 8.651873637108085230e-05
4.620000000000000000e+02 8.828115835453261570e-05 2.851784304421183428e-05 5.976331531032079159e-05
4.640000000000000000e+02 4.525044682282648929e-05 2.930836769990464080e-05 1.594207912292184510e-05
4.660000000000000000e+02 2.378645890761162061e-05 3.012187448088599068e-05 -6.335415573274357356e-06
4.680000000000000000e+02 3.308278298145607839e-05 3.100307348301660200e-05 2.079709498439461562e-06
4.700000000000000000e+02 4.848695140639920262e-05 3.187997865790133167e-05 1.660697274849788112e-05
4.720000000000000000e+02 5.368291018217208202e-05 3.270350605714154662e-05 2.097940412503051507e-05
4.740000000000000000e+02 6.239836262251420465e-05 3.351888004059627713e-05 2.887948258191795124e-05
4.760000000000000000e+02 9.077067581536009476e-05 3.436824457627957825e-05 5.640243123908055038e-05
4.780000000000000000e+02 1.237997286612114859e-04 3.518170248113383777e-05 8.861802618007766168e-05
4.800000000000000000e+02 1.294892381795824138e-04 3.583986498885200942e-05 9.364937319073041795e-05
4.820000000000000000e+02 1.040153742325892799e-04 3.633739012159595847e-05 6.767798411099333502e-05
4.840000000000000000e+02 7.849564730913333719e-05 3.678928110281163769e-05 4.170636620632168595e-05
4.860000000000000000e+02 7.935061079141521171e-05 3.727966873147169405e-05 4.207094205994350411e-05
4.880000000000000000e+02 9.776381800636097679e-05 3.776959973631240769e-05 5.999421827004856232e-05
4.900000000000000000e+02 1.092711668778448942e-04 3.818732739740951547e-05 7.108383948043538549e-05
4.920000000000000000e+02 1.119096239069525657e-04 3.855370594611020495e-05 7.335591796084238111e-05
4.940000000000000000e+02 1.233451790677247788e-04 3.893281196013219256e-05 8.441236710759262012e-05
