# wavenumber(cm^-1)  total O H
1.009813178822530631e+03 1.223735239344649200e-01 3.821822680023069323e-04 1.219913416664626382e-01
1.013885006156492409e+03 1.177228056001103917e-01 3.700147622525546938e-04 1.173527908378578510e-01
1.017956833490454301e+03 1.131874966761328982e-01 3.581999326137982713e-04 1.128292967435191585e-01
1.022028660824416193e+03 1.087802258106485426e-01 3.467291444854719742e-04 1.084334966661631150e-01
1.026100488158377857e+03 1.045319419152205276e-01 3.356497169277661069e-04 1.041962921982928086e-01
1.030172315492339749e+03 1.004813055590155491e-01 3.250451271219204552e-04 1.001562604318936983e-01
1.034244142826301641e+03 9.666350718356492289e-02 3.150084080383307476e-04 9.634849877552663366e-02
1.038315970160263305e+03 9.310160138324422019e-02 3.056169033091273501e-04 9.279598447993514521e-02
1.042387797494225197e+03 8.980223597328111651e-02 2.969147293299675776e-04 8.950532124395113587e-02
1.046459624828187088e+03 8.675605267648026087e-02 2.889058234065706825e-04 8.646714685307373138e-02
1.050531452162148753e+03 8.394162855248740729e-02 2.815568050091110468e-04 8.366007174747833175e-02
1.054603279496110645e+03 8.133105019934289137e-02 2.748063396358685806e-04 8.105624385970704171e-02
1.058675106830072536e+03 7.889521437684790528e-02 2.685769128128868261e-04 7.862663746403504572e-02
1.062746934164034201e+03 7.660757461594529250e-02 2.627857368333862695e-04 7.634478887911194667e-02
1.066818761497996093e+03 7.444594922814325166e-02 2.573531677780875257e-04 7.418859606036519450e-02
1.070890588831957984e+03 7.239278327376666433e-02 2.522085726931122475e-04 7.214057470107355929e-02
1.074962416165919649e+03 7.043464823164148625e-02 2.472943862823830954e-04 7.018735384535909616e-02
1.079034243499881541e+03 6.856170734060633432e-02 2.425689834448077392e-04 6.831913835716155181e-02
1.083106070833843432e+03 6.676750629568463380e-02 2.380083236031066613e-04 6.652949797208154714e-02
1.087177898167805097e+03 6.504900884560052554e-02 2.336057019900923681e-04 6.481540314361045052e-02
1.091249725501766989e+03 6.340651175172670739e-02 2.293688823509130136e-04 6.317714286937582691e-02
1.095321552835728880e+03 6.184306036084873115e-02 2.253145297614061343e-04 6.161774583108734632e-02
1.099393380169690545e+03 6.036321646941329722e-02 2.214609254348078710e-04 6.014175554397851314e-02
1.103465207503652437e+03 5.897136395899540279e-02 2.178208692769630723e-04 5.875354308971843936e-02
1.107537034837614328e+03 5.767000049463079370e-02 2.143969249671460607e-04 5.745560356966367133e-02
1.111608862171575993e+03 5.645853000723695392e-02 2.111805051604158791e-04 5.624734950207652823e-02
1.115680689505537885e+03 5.533291562302987410e-02 2.081549345915219837e-04 5.512476068843839838e-02
